SAM,MeanColonization,MinimumColonization,MaximumColonization,RangeofColonization,LSMeans,ArithmeticMean,LSmeanXY,LSmeanJustX
137,26,10,50,40,23.01412,26,26.0981,26.17967
138,24,6,34,28,25.27129,24,24.03183,24.04196
139,53.60714286,31,73,42,56.10692,53.6071,54.28168,54.33766
140,59.75,18,81,63,61.12192,59.75,60.13639,60.06738
141,38.5,0,80,80,38.69611,38.5,38.20165,38.26654
142,30.25,19,48,29,29.5995,30.25,30.08354,30.2231
143,9,0,21,21,9.42975,9,9.61432,9.66166
144,51.88888889,7.777777778,96,88.22222222,55.17303,51.8889,53.32268,53.03254
145,39.33333333,24,66,42,36.33175,39.3333,38.68537,38.87035
146,21.5,0,39,39,19.64535,21.5,22.11432,22.16166
147,7.25,0,14,14,6.44922,7.25,7.47058,7.49853
148,15.33333333,0,23,23,16.69383,15.3333,15.73022,15.4212
149,41.69444445,17.77777778,70,52.22222222,41.87201,41.6944,41.62211,41.59869
150,13.33333333,0,27,27,13.24155,13.3333,12.17568,12.41131
151,29.25,2,59,57,30.50321,29.25,29.90159,29.84281
152,31,12,42,30,30.86818,31,30.6252,30.69768
153,15.25,0,40,40,15.04078,15.25,15.70807,15.70509
154,37,1,70,69,36.39031,37,36.74846,36.55997
155,41.33333333,10,72,62,42.49029,41.3333,39.8826,39.95227
156,42.75,13,89,76,42.05983,42.75,42.58974,42.51654
157,23,7,42,35,21.78857,23,22.72125,22.83539
158,34.5,8,67,59,35.02865,34.5,34.35598,34.26654
159,47.33333333,36,55,19,50.50045,47.3333,48.47884,48.33927
160,39,33,50,17,39.33088,39,40.29571,40.14365
161,12,0,34,34,13.50669,12,12.92491,12.86823
162,23.5,0,44,44,24.80307,23.5,24.05412,24.09281
163,20.38888889,0,56,56,20.40907,20.3889,20.50195,20.43085
164,28.33333333,26,31,5,28.63139,28.3333,28.53337,28.60481
165,14.75,0,36,36,16.21002,14.75,14.86499,14.99853
166,47,4,78,74,47.29901,47,46.41686,46.42226
167,41,29,64,35,43.18341,41,40.27366,40.26159
168,26.75,20,36,16,27.58354,26.75,27.17365,26.99853
169,31,10,50,40,32.17953,31,31.29751,31.27148
170,19.66666667,1,32,31,18.73941,19.6667,18.46313,18.46922
171,27,11,53,42,26.59068,27,26.92909,26.76654
172,51,0,90,90,51.46701,51,50.39391,50.28454
173,59.5,28,85,57,59.95411,59.5,59.46878,59.74853
174,40.75,0,70,70,41.7089,40.75,40.95434,40.99853
175,30.75,0,59,59,30.83293,30.75,30.40769,30.44768
176,43.25,30,63,33,41.74477,43.25,43.07877,43.29196
177,41.5,0,70,70,41.82652,41.5,41.31395,41.40425
178,3,0,10,10,5.82546,3,3.25785,3.17967
179,29.14583333,6.25,43.33333333,37.08333333,30.83968,29.1458,29.64309,29.73864
180,35,35,35,0,30.70772,35,32.00232,31.87459
181,43.25,17,53,36,43.04723,43.25,43.01186,43.08539
182,36.33333333,2,80,78,35.38147,36.3333,35.99119,36.14577
183,54.46428571,2.857142857,82,79.14285714,55.57888,54.4643,54.56588,54.43739
184,38.66666667,19,50,31,38.97723,38.6667,38.15247,37.83645
185,40.66666667,39,43,4,40.84562,40.6667,40.45638,40.29549
186,35.33333333,31,43,12,36.01645,35.3333,35.32123,35.69662
187,10,4,14,10,12.39156,10,9.6056,9.62882
188,23.5,15,35,20,24.72969,23.5,24.10905,23.88624
189,17,0,23,23,14.6901,17,17.13266,17.11081
190,16.25,2,27,25,17.73967,16.25,16.71619,16.70509
191,37.875,19,52.5,33.5,38.6536,37.875,37.9245,37.77925
192,57.75,22,98,76,57.10349,57.75,57.93809,57.99853
193,48,30,69,39,51.41621,48,48.50775,48.36329
194,38.5,0,78,78,42.39913,38.5,39.89176,39.78136
195,31,10,60,50,30.78611,31,29.94666,29.94027
196,16.5,9,37,28,14.17865,16.5,16.00478,16.05997
197,70.33333333,54,94,40,66.6878,70.3333,69.37956,69.59493
198,22.5,5,38,33,22.85507,22.5,22.42909,22.26654
199,55.5,47,64,17,54.43292,55.5,53.77817,53.88942
200,31.91666667,16.66666667,50,33.33333333,34.66372,31.9167,32.03785,31.95863
201,11.33333333,6,20,14,10.11295,11.3333,10.837,10.87035
202,36.75,17,72,55,38.44578,36.75,36.67624,36.79196
203,23.33333333,10,41,31,27.18342,23.3333,23.88061,24.06385
204,17.25,0,45,45,16.11349,17.25,16.95115,16.67226
205,49,21,79,58,51.00833,49,49.23683,49.24853
206,41,25,60,35,41.58766,41,40.94918,41.17967
207,19.66666667,4,30,26,19.35926,19.6667,19.75394,19.84634
208,40.66666667,10,77,67,36.95841,40.6667,39.91677,40.11188
209,28,0,88,88,28.02999,28,28.04808,28.04196
210,25.5,13,42,29,24.85136,25.5,25.51701,25.40425
211,23.33333333,17,32,15,23.10127,23.3333,24.44189,24.24747
212,72.07407407,42.22222222,90,47.77777778,70.33008,72.0741,70.8769,70.78482
213,58.75,32,86,54,57.96955,58.75,58.86499,58.99853
214,26.75,0,56,56,24.27495,26.75,27.00307,26.99853
215,27,8,50,42,27.79014,27,26.94391,26.90425
216,31.875,7.5,77,69.5,31.70034,31.875,31.71524,31.98581
217,27,11,43,32,26.49563,27,26.76236,27.17967
218,18.33333333,0,43,43,19.43505,18.3333,18.61365,18.69662
219,27,0,38,38,27.2879,27,26.89517,26.90425
220,46.66666667,19,62,43,46.22733,46.6667,46.01234,46.29549
221,47.33333333,9,74,65,49.02206,47.3333,47.28428,47.60481
222,43.75,24,69,45,44.57302,43.75,44.21426,43.99853
223,4.333333333,0,8,8,2.91248,4.3333,4.26898,4.513
224,44.625,41.25,48,6.75,47.25138,44.625,44.28889,44.11611
225,39.5,33,46,13,38.94264,39.5,39.27476,39.26654
226,30.66666667,0,57,57,31.14209,30.6667,30.20586,30.4332
227,22.66666667,10,47,37,21.7401,22.6667,22.20282,22.20368
228,48,0,80,80,48.0645,48,48.32475,48.38624
229,26,1,49,48,26.38187,26,26.30181,26.24853
230,68.75,21,100,79,69.37087,68.75,69.15121,69.20509
231,32.25,2,62,60,31.19814,32.25,31.90099,31.80997
232,53.5,22,83,61,53.23344,53.5,53.7612,53.74853
233,30.25,0,56,56,30.63626,30.25,30.08354,30.2231
234,38,31,45,14,37.58509,38,38.41318,38.86823
235,15.33333333,9,20,11,14.91397,15.3333,14.08457,14.3195
236,47,47,47,0,46.88231,47,46.84644,46.90425
237,31.5,0,51,51,32.78649,31.5,31.73013,31.61081
238,28.25,4,74,70,28.00409,28.25,28.21828,28.15425
239,27,1,58,57,28.20162,27,27.78967,27.59281
240,21.93650794,10,46,36,20.86591,21.9365,22.34391,22.18503
241,33.33333333,13,50,37,32.26333,33.3333,32.77202,32.87035
242,66.25,2,100,98,66.9435,66.25,66.3129,66.42967
243,24,3,47,44,24.068,24,24.26455,24.31738
244,21.66666667,0,34,34,22.80967,21.6667,20.64344,20.83645
245,60.33333333,36,80,44,58.34613,60.3333,59.33624,59.59493
246,26,4,47,43,26.39279,26,25.20039,25.14683
247,31.33333333,10,65,55,34.70346,31.3333,31.25748,31.05397
248,29.75,14,54,40,30.83152,29.75,29.86164,29.92967
249,30,8,58,50,30.21666,30,30.02321,29.69768
250,27.5,0,47,47,24.45209,27.5,26.50017,26.37141
251,50.5,21,80,59,50.91197,50.5,49.43569,49.71569
252,37.5,28,47,19,37.01149,37.5,38.59649,39.05679
