SAM,AREA_Dry,AREA_logdiff,AREA_Wet,Oilpct_Dry,Oilpct_logdiff,Oilpct_Wet,StemDiametermm_Wet,StemHeightmm_Wet,RootingDepthmm_Wet,RootBiomassmg_Wet,TRLmm_Wet,SRLmmg_Wet,RootBiomassAllocation_Wet,TRLAllocation_Wet,StemDiametermm_Dry,StemHeightmm_Dry,RootingDepthmm_Dry,RootBiomassmg_Dry,TRLmm_Dry,SRLmmg_Dry,RootBiomassAllocation_Dry,TRLAllocation_Dry,StemDiametermm_logdiff,StemHeightmm_logdiff,RootingDepthmm_logdiff,RootBiomassmg_logdiff,TRLmm_logdiff,SRLmmg_logdiff,RootBiomassAllocation_logdiff,TRLAllocation_logdiff
SAM183,10314.2,-0.141061121,11876.75,25.05300456,-0.085397083,27.28646649,2.308,44.569,109.194,6.4,1423.452,13.736,0.766,0.426,2.069,46.254,135.807,3.45,1458.554,13.809,0.668,0.279,0.10931595,-0.037109397,-0.218108643,0.617923759,-0.024360627,-0.00530043,0.136893996,0.423227564
SAM184,7847.61,0.084042677,7215.03,25.12062894,-0.082987085,27.29426109,2.269,26.539,117.698,6.95,879.697,12.493,0.872,0.346,2.212,30.22,123.102,6.167,1448.026,13.471,0.665,0.25,0.025442122,-0.129888608,-0.044891258,0.119529164,-0.498378999,-0.075370739,0.271002383,0.324977857
SAM185,3023.31,-1.352197583,11687.85,39.81037383,-0.005338183,40.02345713,2.812,29.078,128.379,23.65,1608.433,11.797,0.614,0.31,2.346,37.248,79.353,8.85,1485.312,12.624,0.749,0.513,0.181184224,-0.247616378,0.481080573,0.982945656,0.079635562,-0.067754502,-0.198744055,-0.503703548
SAM186,6402.925,-0.548061802,11076.4,NA,NA,33.50085748,2.211,27.156,77.379,5.35,1174.943,14.03,0.91,0.494,1.856,17.926,131.135,6.233,1316.47,13.332,0.741,0.317,0.175021268,0.415345844,-0.527511901,-0.152761197,-0.113734276,0.051030734,0.205443974,0.443633743
SAM187,13632.6,0.242145478,10700.8,22.71518298,-0.037079646,23.57326429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM188,11559.61,0.482747371,7133.27,27.8947965,0.098247978,25.28451588,2.407,53.184,101.873,14,2229.624,12.117,0.593,0.433,2.453,20.132,81.394,11,1290.067,12.301,0.603,0.513,-0.018930606,0.97144701,0.224425379,0.241162057,0.547138806,-0.015071135,-0.016722798,-0.169538117
SAM189,5477.835,-0.679080599,10802.64,31.47004251,-0.053750961,33.2078742,2.805,79.536,76.009,14.5,1563.364,12.501,0.682,0.424,2.192,60.146,89.135,14.7,1496.096,12.846,0.751,0.414,0.24658917,0.27943481,-0.15930032,-0.013698844,0.043980861,-0.027223838,-0.096375994,0.023867481
SAM190,7882.855,-0.147988837,9140.17,32.62981231,0.030214762,31.65865583,2.473,37.986,112.345,11.133,1669.609,12.297,0.534,0.278,2.289,43.65,127.135,10.7,2243.725,13.111,0.572,0.161,0.077316948,-0.138985611,-0.12367502,0.039669929,-0.295547964,-0.064096242,-0.068743152,0.546216749
SAM191,6569.56,0.306079809,4837.35,29.82629226,0.078869104,27.56429266,1.776,30.089,110.345,4.6,994.731,12.595,0.548,0.308,1.966,32.643,131.135,3.167,854.704,13.536,0.762,0.355,-0.101637377,-0.081470781,-0.172615506,0.373271536,0.151717139,-0.072052893,-0.329671269,-0.142018007
SAM192,NA,NA,NA,37.59714584,0.067037972,35.15933529,2.238,59.69,87.416,3.85,1263.901,13.559,0.724,0.546,2.157,46.446,126.727,9.367,1820.932,13.083,0.707,0.272,0.036864242,0.250874155,-0.371356834,-0.889119726,-0.365145488,0.035736856,0.023760726,0.696816909
SAM193,NA,NA,NA,37.12010079,-0.081394783,40.26785089,3.025,47.418,117.647,11.033,1911.364,13.004,0.621,0.265,2.767,25.086,95.727,11,1845.851,12.758,0.58,0.328,0.089147391,0.636691982,0.206188225,0.002995509,0.034876706,0.019098477,0.068302978,-0.213283782
SAM194,6048.505,-0.378902049,8834.93,33.91201133,0.035337106,32.73458493,2.688,64.881,99.98,9.167,1594.284,12.925,0.594,0.298,2.22,34.122,112.094,5.233,868.556,13.379,0.753,0.312,0.191290227,0.642612485,-0.114367639,0.560625352,0.607347949,-0.034522893,-0.237185908,-0.045909701
SAM195,4121.495,-0.436790681,6378.97,32.43884657,-0.020810999,33.12100494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM196,5740.42,-0.461225435,9104.4,30.27288479,0.197498766,24.8474133,2.956,87.812,107.345,8.5,1726.365,13.93,0.844,0.443,2.983,76.418,135.094,10.433,2438.046,13.16,0.584,0.301,-0.009092502,0.138979895,-0.229922886,-0.204907696,-0.345178857,0.056862862,0.368251512,0.386459505
SAM197,7135.48,0.172601145,6004.315,33.72537814,0.01912033,33.08666346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAM198,5439.525,-0.25820758,7042.05,33.31575325,-0.066225685,35.59681049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
