"SAM","PEAKAREASPC1_common","PEAKAREASPC2_common","PEAKAREASPC3_common","PEAKAREASPC4_common","PEAKAREASPC5_common","PEAKAREASPC6_common","PEAKAREASPC7_common","PEAKAREASPC8_common","PEAKAREASPC9_common","PEAKAREASPC10_common","PeakAreas200PC1_common","PeakAreas200PC2_common","PeakAreas200PC3_common","PeakAreas200PC4_common","PeakAreas200PC5_common","PeakAreas200PC6_common","PeakAreas200PC7_common","PeakAreas200PC8_common","PeakAreas200PC9_common","PeakAreas200PC10_common","RelativeRatiosPC1_common","RelativeRatiosPC2_common","RelativeRatiosPC3_common","RelativeRatiosPC4_common","RelativeRatiosPC5_common","RelativeRatiosPC6_common","RelativeRatiosPC7_common","RelativeRatiosPC8_common","RelativeRatiosPC9_common","RelativeRatiosPC10_common","RelativeRatios200PC1_common","RelativeRatios200PC2_common","RelativeRatios200PC3_common","RelativeRatios200PC4_common","RelativeRatios200PC5_common","RelativeRatios200PC6_common","RelativeRatios200PC7_common","RelativeRatios200PC8_common","RelativeRatios200PC9_common","RelativeRatios200PC10_common"
"SAM269",3.064841148,1.610014155,1.340886028,1.009523731,-0.895133753,-1.227531139,0.891066964,1.035709568,0.068022417,0.672808032,-1.619803673,-0.751595073,-0.224667097,-0.200580435,-1.285350454,0.517212416,-1.059364405,0.56768051,-0.693490064,0.383168095,3.064841148,1.610014155,1.340886028,1.009523731,-0.895133753,-1.227531139,0.891066964,1.035709568,0.068022417,0.672808032,-1.619803673,-0.751595073,-0.224667097,-0.200580435,-1.285350454,0.517212416,-1.059364405,0.56768051,-0.693490064,0.383168095
"SAM270",4.937164096,-0.046129119,1.159003294,0.70506277,-1.048197681,-0.760622063,0.918314176,1.012899186,-0.851845925,0.554825058,-4.20435785,-0.150702849,0.367025789,-0.442302251,-0.391437337,0.435946855,-0.604976848,-0.523834448,0.007056093,-0.639784746,4.937164096,-0.046129119,1.159003294,0.70506277,-1.048197681,-0.760622063,0.918314176,1.012899186,-0.851845925,0.554825058,-4.20435785,-0.150702849,0.367025789,-0.442302251,-0.391437337,0.435946855,-0.604976848,-0.523834448,0.007056093,-0.639784746
"SAM271",2.666468205,2.341453277,1.209225338,-0.0585742,-1.111448988,-1.56142662,0.662947215,1.075527391,-0.572363162,-0.073203079,-1.209988801,-1.605913908,-0.901708913,1.002568084,-1.128758635,1.575762733,0.122316642,0.453393685,-0.433261194,0.912792639,2.666468205,2.341453277,1.209225338,-0.0585742,-1.111448988,-1.56142662,0.662947215,1.075527391,-0.572363162,-0.073203079,-1.209988801,-1.605913908,-0.901708913,1.002568084,-1.128758635,1.575762733,0.122316642,0.453393685,-0.433261194,0.912792639
"SAM273",3.159016261,0.691408656,-0.176553973,0.628364788,0.130988543,-0.596760356,0.15284405,-0.120454617,-0.037639866,0.121176589,-1.87879507,-0.47196647,-0.034353375,0.201972901,-0.482296232,-0.294382679,-0.608150966,0.594843316,0.170012422,-0.034465438,3.159016261,0.691408656,-0.176553973,0.628364788,0.130988543,-0.596760356,0.15284405,-0.120454617,-0.037639866,0.121176589,-1.87879507,-0.47196647,-0.034353375,0.201972901,-0.482296232,-0.294382679,-0.608150966,0.594843316,0.170012422,-0.034465438
"SAM274",3.469865774,0.882650754,0.539509476,0.52543475,-0.294963441,-0.334151085,0.624718857,0.321254995,-0.181642566,0.313209068,-2.125733654,-0.575756639,-0.033030643,-0.599042342,-0.543708408,0.304112659,-1.302737972,-0.030033152,1.119321412,-1.538147207,3.469865774,0.882650754,0.539509476,0.52543475,-0.294963441,-0.334151085,0.624718857,0.321254995,-0.181642566,0.313209068,-2.125733654,-0.575756639,-0.033030643,-0.599042342,-0.543708408,0.304112659,-1.302737972,-0.030033152,1.119321412,-1.538147207
"SAM275",3.425932961,-0.082059514,-0.489163615,-0.669189058,0.172050621,-0.266781864,1.467702317,0.182527325,-1.443339285,0.388167858,-2.906557851,-0.159584633,-0.788828071,0.674075001,-0.16198995,0.679385039,-0.531936767,-0.568718936,0.276250784,-0.095049025,3.425932961,-0.082059514,-0.489163615,-0.669189058,0.172050621,-0.266781864,1.467702317,0.182527325,-1.443339285,0.388167858,-2.906557851,-0.159584633,-0.788828071,0.674075001,-0.16198995,0.679385039,-0.531936767,-0.568718936,0.276250784,-0.095049025
"SAM276",2.851473034,-1.15793795,-0.912774412,-1.655291714,-0.575001367,-0.093670809,0.831409368,1.847250307,-0.525352047,0.398639891,-2.952717004,0.039109589,-0.985159419,-0.443393462,-1.011910644,1.533506842,0.103356533,-0.101099953,-0.336971028,-0.271476247,2.851473034,-1.15793795,-0.912774412,-1.655291714,-0.575001367,-0.093670809,0.831409368,1.847250307,-0.525352047,0.398639891,-2.952717004,0.039109589,-0.985159419,-0.443393462,-1.011910644,1.533506842,0.103356533,-0.101099953,-0.336971028,-0.271476247
"SAM277",-0.040964723,2.931233411,-1.129797623,0.39051429,1.552898277,-1.008858823,-0.26861156,-1.721205533,0.915170779,0.400152936,1.68568819,-2.895395804,-1.019182971,0.919504484,-0.534550258,-1.205551535,-1.821159465,1.367327393,-2.208834199,0.805500491,-0.040964723,2.931233411,-1.129797623,0.39051429,1.552898277,-1.008858823,-0.26861156,-1.721205533,0.915170779,0.400152936,1.68568819,-2.895395804,-1.019182971,0.919504484,-0.534550258,-1.205551535,-1.821159465,1.367327393,-2.208834199,0.805500491
"SAM278",1.986568745,3.453447368,1.701030971,-1.267208678,-2.332488532,-1.661217256,-0.711802994,2.079779534,0.495552853,-0.358345729,-0.911640323,-2.444816096,-1.927799161,0.223892417,-1.966067803,1.618978111,1.18063951,-0.489773363,0.930324854,-0.270620832,1.986568745,3.453447368,1.701030971,-1.267208678,-2.332488532,-1.661217256,-0.711802994,2.079779534,0.495552853,-0.358345729,-0.911640323,-2.444816096,-1.927799161,0.223892417,-1.966067803,1.618978111,1.18063951,-0.489773363,0.930324854,-0.270620832
"SAM279",4.021468645,-0.294870618,-0.396805579,-0.202742176,0.261637603,-0.604858745,0.836986386,-0.352636062,-0.86277544,0.150202682,-3.330736127,-0.227785765,-0.48646258,0.114490456,-0.516149717,-0.029354831,0.105046967,0.682128137,0.102548189,0.217732102,4.021468645,-0.294870618,-0.396805579,-0.202742176,0.261637603,-0.604858745,0.836986386,-0.352636062,-0.86277544,0.150202682,-3.330736127,-0.227785765,-0.48646258,0.114490456,-0.516149717,-0.029354831,0.105046967,0.682128137,0.102548189,0.217732102
"SAM280",3.320413887,-0.112639721,-1.059529883,0.326877343,-0.086676065,-0.086058601,0.036125148,-0.281371404,-0.107349511,0.123212717,-2.814635788,-1.058512578,-0.140123903,0.124807861,0.308071662,0.206812286,-0.614716428,0.847616802,0.64061642,-1.099907691,3.320413887,-0.112639721,-1.059529883,0.326877343,-0.086676065,-0.086058601,0.036125148,-0.281371404,-0.107349511,0.123212717,-2.814635788,-1.058512578,-0.140123903,0.124807861,0.308071662,0.206812286,-0.614716428,0.847616802,0.64061642,-1.099907691
"SAM281",4.929823324,-1.077440303,-1.340873782,0.524023943,0.388817767,-0.472754559,0.750910223,-0.671357449,-0.362443741,0.121812976,-4.487250793,0.020211997,0.507966421,-0.318115444,0.494199311,-0.254779382,-0.652427538,0.167964043,-0.040783254,0.086972971,4.929823324,-1.077440303,-1.340873782,0.524023943,0.388817767,-0.472754559,0.750910223,-0.671357449,-0.362443741,0.121812976,-4.487250793,0.020211997,0.507966421,-0.318115444,0.494199311,-0.254779382,-0.652427538,0.167964043,-0.040783254,0.086972971
"SAM282",4.842748907,-1.317672342,1.241553611,0.165940836,-0.925268275,-0.639145101,1.299927937,1.276607056,-1.298227511,0.496916683,-4.63280064,-0.028453896,-0.160691682,0.184028128,-0.580413382,1.271572159,0.359293452,-0.799893104,-0.413912397,-0.660236487,4.842748907,-1.317672342,1.241553611,0.165940836,-0.925268275,-0.639145101,1.299927937,1.276607056,-1.298227511,0.496916683,-4.63280064,-0.028453896,-0.160691682,0.184028128,-0.580413382,1.271572159,0.359293452,-0.799893104,-0.413912397,-0.660236487
"SAM283",2.891182813,0.541077786,1.32222493,0.980455012,-0.210090077,-1.351902516,1.68354184,1.274002875,-0.739860684,0.293495988,-2.311250038,-0.211635685,0.02202167,-1.340724373,-1.900173849,0.705079786,0.09416869,0.219828431,-0.162075683,0.659052057,2.891182813,0.541077786,1.32222493,0.980455012,-0.210090077,-1.351902516,1.68354184,1.274002875,-0.739860684,0.293495988,-2.311250038,-0.211635685,0.02202167,-1.340724373,-1.900173849,0.705079786,0.09416869,0.219828431,-0.162075683,0.659052057
"SAM284",0.856721855,3.765928188,3.344623916,1.291841252,-0.971266421,-1.547066495,0.629669958,1.529276913,-0.706806032,1.820369171,0.970530631,-2.764677283,-0.190698087,0.188064302,-1.501147446,-0.333682931,0.012611401,-1.822089334,-1.258560857,-0.94292137,0.856721855,3.765928188,3.344623916,1.291841252,-0.971266421,-1.547066495,0.629669958,1.529276913,-0.706806032,1.820369171,0.970530631,-2.764677283,-0.190698087,0.188064302,-1.501147446,-0.333682931,0.012611401,-1.822089334,-1.258560857,-0.94292137
"SAM286",2.424215557,2.327381151,1.629128742,-0.734615804,-0.419298808,0.583278309,1.498117063,1.136848817,0.298431076,1.282392467,-1.147220408,-1.072323781,-0.693241043,-1.494128681,-0.825647567,0.041706195,0.090309927,0.483792928,0.301181082,-1.777213922,2.424215557,2.327381151,1.629128742,-0.734615804,-0.419298808,0.583278309,1.498117063,1.136848817,0.298431076,1.282392467,-1.147220408,-1.072323781,-0.693241043,-1.494128681,-0.825647567,0.041706195,0.090309927,0.483792928,0.301181082,-1.777213922
"SAM287",3.463007828,0.848110983,0.392003421,0.64419403,-0.810525886,-0.812778393,0.555277795,0.621844288,0.293240957,0.91321084,-2.369618615,-0.524475411,0.46604797,-0.10041092,-0.418143265,0.095092987,-0.86437408,-0.094339738,-0.352206394,-0.904241506,3.463007828,0.848110983,0.392003421,0.64419403,-0.810525886,-0.812778393,0.555277795,0.621844288,0.293240957,0.91321084,-2.369618615,-0.524475411,0.46604797,-0.10041092,-0.418143265,0.095092987,-0.86437408,-0.094339738,-0.352206394,-0.904241506
"SAM288",1.533168654,3.32368485,2.399218169,0.276879158,-1.86699874,-1.052240271,-0.293357957,0.93310852,1.22449548,0.272509139,-0.021614332,-2.281915691,-1.312049195,0.058197974,-1.115357712,0.535845925,0.127346181,0.457910016,0.687322321,-0.734697682,1.533168654,3.32368485,2.399218169,0.276879158,-1.86699874,-1.052240271,-0.293357957,0.93310852,1.22449548,0.272509139,-0.021614332,-2.281915691,-1.312049195,0.058197974,-1.115357712,0.535845925,0.127346181,0.457910016,0.687322321,-0.734697682
"SAM289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
